file_name,f0_mean,f0_std,centroid_mean,zcr_mean,gender,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19
Voice848.wav,205.216,60.616,810.258,0.057,female,89.957,-8.049,32.53,18.913,-5.103,-5.495,-5.713,-2.158,-3.388,-4.467,-4.457,-6.063,-7.482,-2.684,-1.747,-5.732,-4.232,-4.057,-3.569
13899700636261554491.wav,213.099,51.69,1116.688,0.083,female,76.302,-8.785,24.364,-15.265,-11.693,-7.882,-12.322,-1.798,-1.262,-5.426,-4.971,-1.066,-6.145,-2.564,-0.932,-4.64,-3.792,-5.953,-5.077
10307762999963564771.wav,188.883,56.587,903.757,0.071,female,86.692,-3.603,17.236,-4.403,-8.947,1.902,-4.711,-5.785,1.15,-4.003,-2.187,-0.258,-5.138,-1.508,-3.529,-3.923,-2.635,-4.238,-2.35
13812133215261032260.wav,141.97,25.203,745.313,0.057,male,104.287,-4.068,25.255,9.392,3.038,3.536,-9.679,-0.952,1.799,-2.963,-1.326,0.558,-0.58,-3.334,-1.982,0.563,0.054,1.545,0.972
Voice786.wav,213.032,44.481,792.679,0.056,female,84.575,-3.894,24.68,7.825,3.187,-1.913,-9.368,-2.907,-5.657,-6.296,-2.4,-2.401,-6.964,-5.501,-5.548,-7.336,-4.791,-5.561,-5.937
15364695165419340958.wav,132.376,20.135,737.587,0.045,male,108.444,-10.658,33.537,7.615,-1.804,6.084,-5.27,1.005,2.049,1.771,0.709,0.603,-0.004,-3.474,-0.532,0.111,0.271,1.674,-1.799
Voice878.wav,212.164,50.66,749.234,0.049,female,92.738,-3.732,26.627,13.63,-5.177,-2.365,-5.587,-1.403,-5.763,-13.399,-4.851,-1.763,-5.573,-5.176,-8.024,-7.044,-4.608,-5.955,-4.448
Voice683.wav,197.973,45.447,820.391,0.068,female,94.333,-7.617,14.631,7.182,-3.7,-3.512,-8.651,-4.115,-0.889,-3.34,-3.651,-0.879,-4.659,-3.801,-1.855,-6.87,-4.119,-3.401,-4.721
Voice874.wav,199.094,54.41,768.633,0.061,female,93.947,-4.526,27.05,13.362,-5.986,-4.838,-6.655,-1.885,-1.799,-7.357,-6.928,-1.633,-4.963,-5.86,-5.054,-6.866,-2.392,-3.634,-4.255
16261502503261712419.wav,217.255,57.829,954.385,0.07,female,89.521,-12.759,24.235,0.577,-10.408,-2.631,-7.143,-1.277,-2.126,-7.487,-2.658,-2.563,-7.985,-3.471,-4.188,-6.612,-3.703,-4.699,-3.293
10278797616825761022.wav,141.032,34.815,776.467,0.057,male,105.685,-11.029,19.49,5.43,-3.737,3.485,-7.564,-0.763,0.406,-3.188,0.18,0.961,-0.571,-2.603,-0.422,-1.363,-2.806,-0.368,-2.303
17911855486827115503.wav,137.687,25.666,772.88,0.054,male,102.661,0.27,25.233,-0.233,-2.128,5.338,-4.849,0.186,1.894,-0.989,-1.988,1.582,-0.716,-3.971,0.296,-0.405,-2.942,-0.622,-0.514
17140192563134270677.wav,194.751,61.469,1065.917,0.083,female,85.719,-21.574,24.457,0.634,-9.617,-6.55,-6.65,-4.542,-6.872,-3.93,-4.295,-0.492,-3.019,-3.951,-0.258,-3.829,-2.221,0.395,-3.86
7132192054519088532.wav,167.442,68.525,868.069,0.082,male,87.836,-7.601,1.714,6.842,-5.583,-2.547,-4.055,-8.277,-6.293,-4.145,-5.544,-4.373,-0.614,-1.141,-1.404,-0.446,-1.734,-1.309,-0.816
9666692540528312497.wav,140.407,23.123,762.47,0.054,male,110.411,-6.12,25.61,-1.534,-2.16,4.349,-7.194,0.475,2.474,-1.192,-2.817,2.667,-0.365,-4.561,1.623,-1.695,-4.042,0.095,-0.356
13324593797722468793.wav,178.331,58.028,850.786,0.085,male,103.227,-13.512,-4.645,4.542,-9.506,-7.147,-5.919,-6.871,-1.409,-0.066,-4.832,-1.762,1.351,-3.562,-2.845,-0.533,-2.423,-1.289,-0.704
5355794632790153436.wav,154.879,37.245,724.685,0.06,male,103.745,0.056,4.64,12.594,-4.249,-3.668,-1.271,-4.718,-1.184,0.248,-2.742,-0.04,0.477,-1.656,0.377,-1.412,-3.754,-1.733,-2.884
4791100029241705753.wav,132.075,16.798,637.071,0.042,male,119.77,-2.818,24.193,7.044,-3.133,3.556,-7.498,1.506,2.369,-1.436,0.948,0.123,0.182,-2.373,0.423,0.266,-2.678,1.231,-0.947
17256626189566748336.wav,125.527,15.298,695.571,0.044,male,111.881,-7.711,28.231,6.626,4.385,3.48,-5.799,2.017,0.256,2.077,-2.502,-0.215,1.635,-5.401,0.086,0.694,-2.486,1.556,-0.166
16599620061570393229.wav,158.686,59.259,816.428,0.074,male,101.678,-8.772,3.591,4.507,-9.829,0.058,-2.121,-9.431,-4.47,-0.898,-5.654,-6.793,-2.313,-1.411,0.188,0.946,-2.387,-0.656,1.097
2945898227590181467.wav,148.075,22.314,676.054,0.046,male,94.869,5.288,25.99,11.312,0.366,2.411,-8.701,-3.839,1.93,-0.879,-3.043,0.53,1.264,-4.165,-1.542,0.206,-0.847,1.7,-0.502
6242271335835238303.wav,149.988,29.145,778.65,0.068,male,107.536,-5.203,2.983,10.326,-3.209,-3.707,-3.253,-4.563,-1.843,-0.018,-0.691,2.568,0.4,-4.153,0.561,0.153,-4.124,-1.545,-1.733
12605297478983529750.wav,197.83,79.24,950.793,0.08,female,87.996,-22.542,9.716,6.714,-4.569,3.454,-4.58,-2.395,-0.299,-5.362,-2.01,-1.899,-6.791,-4.461,-3.47,-5.067,-3.693,-4.598,-4.236
Voice692.wav,196.253,44.208,783.144,0.056,female,96.847,-9.242,24.314,11.648,-7.671,-1.896,-10.084,-6.805,-0.439,-5.519,-5.013,-1.184,-6.11,-5.875,-2.254,-6.585,-6.346,-4.163,-4.974
10887419341631287970.wav,165.841,52.509,989.811,0.077,female,82.613,-3.034,29.951,0.592,-6.692,-0.875,-3.339,-2.243,0.174,-4.879,-4.946,-0.25,-5.866,0.532,-0.52,-3.713,-0.981,-3.938,-1.43
Voice83.wav,164.1,44.499,990.049,0.084,male,71.227,-16.405,21.574,5.29,-5.46,-1.724,-5.156,-2.177,-0.209,-2.415,-4.919,-0.141,-2.767,-4.158,-1.516,-2.645,-2.859,-3.024,-2.143
11134802559190444268.wav,159.683,31.812,718.709,0.065,male,104.183,1.196,0.173,10.794,-6.012,-7.083,-1.88,-5.117,-2.272,0.485,-2.473,-0.878,1.427,-0.511,-2.454,-3.169,-2.503,-2.033,-3.528
12437374540255695197.wav,215.998,70.529,976.014,0.08,female,86.657,-15.537,20.763,1.188,-10.891,-1.383,-7.286,-2.701,-4.451,-7.612,-0.11,-3.479,-8.017,-2.919,-5.526,-6.491,-3.25,-4.726,-3.691
16310747497895967825.wav,142.478,46.772,1016.602,0.087,male,87.63,-9.494,21.735,-4.841,-6.29,3.119,-4.115,-0.433,1.611,1.181,-1.251,-0.254,0.711,-3.494,-1.356,0.354,-0.926,-0.447,-0.522
4183986117433038479.wav,174.412,58.83,844.033,0.078,male,100.281,-12.282,-1.305,5.967,-10.465,-7.193,-4.911,-9.204,-2.667,1.426,-6.225,-2.585,0.915,-4.527,-1.501,-0.97,-3.261,-0.65,-1.134
Voice708.wav,202.632,52.862,776.018,0.055,female,103.259,-10.853,25.774,9.04,-6.256,-4.454,-11.952,-3.224,-0.691,-2.454,-2.544,-4.753,-7.115,-4.453,-0.39,-3.658,-4.669,-4.265,-5.046
3024062997472751524.wav,137.979,35.132,662.363,0.04,male,115.106,-4.719,23.064,6.432,-2.396,6.22,-3.391,0.133,2.011,0.028,-1.088,0.098,1.025,-2.821,-0.382,-0.359,-3.209,-0.236,-1.646
16279223226780416507.wav,191.312,56.261,860.486,0.065,female,87.315,-0.543,18.377,-5.098,-7.919,-0.911,-4.262,-8.079,-2.596,-2.191,-3.945,1.241,-5.309,-3.024,-2.511,-5.565,-1.529,-3.132,-3.528
12357366823290914866.wav,213.717,63.178,938.259,0.08,female,81.288,-10.02,11.386,4.287,-10.049,-2.767,-3.055,-1.445,-3.589,-7.545,-1.555,-3.2,-8.622,-3.797,-4.876,-7.046,-3.386,-5.054,-5.347
13138308593973400506.wav,208.111,49.624,1039.863,0.084,female,76.58,-3.414,19.687,-10.679,-14.3,-8.128,-9.23,-3.736,-1.759,-4.108,-4.637,-1.9,-5.855,-1.144,-2.087,-4.436,-1.981,-6.161,-4.219
Voice726.wav,190.62,58.285,911.83,0.069,female,88.31,-13.752,20.987,17.964,-3.546,-2.857,-2.8,-3.113,-2.621,-2.671,0.005,1.879,-6.276,-8.138,-4.439,-4.649,-2.618,-3.672,-4.446
Voice77.wav,148.329,34.226,858.631,0.05,male,73.005,-11.747,20.956,6.795,-2.764,6.516,-1.792,-1.113,1.842,-1.863,-3.817,-0.661,-0.268,-4.039,-2.026,-0.705,-3.208,-1.77,-2.398
Voice815.wav,199.469,64.936,845.244,0.061,female,91.87,-9.19,19.306,6.935,4.498,2.647,-8.21,-6.183,-5.237,-3.282,-2.76,-0.348,-4.585,-7.167,-3.007,-4.967,-2.944,-2.754,-4.739
1244252295604158172.wav,140.319,17.654,702.542,0.055,male,101.887,3.137,25.37,8.898,0.571,0.479,-10.732,-1.791,4.621,-0.145,-3.593,1.249,0.59,-4.8,-0.388,-0.036,-0.637,2.397,-1.642
10969763968068563069.wav,164.972,50.35,983.821,0.099,male,99.381,-25.377,-2.287,6.564,-9.785,0.261,-1.845,-7.492,-0.657,-0.11,-3.511,-2.251,-1.016,-1.283,-2.217,-2.256,-1.7,-1.834,-0.759
Voice821.wav,209.767,60.225,802.156,0.06,female,85.184,-5.461,26.607,11.621,-3.107,-3.853,-10.091,-4.629,-4.864,-5.381,-1.273,-2.897,-8.107,-6.974,-7.026,-7.831,-2.325,-2.126,-3.219
9146117622459066265.wav,160.214,57.058,842.888,0.082,male,101.334,-13.441,3.394,4.425,-13.141,-5.263,-3.903,-5.776,-0.83,-1.506,-5.712,-0.979,1.381,-2.77,-0.969,-0.517,-2.113,0.391,-0.281
13238653071779608573.wav,241.74,44.047,827.392,0.062,female,94.481,-14.427,13.214,0.786,-13.612,-5.242,-8.919,-9.537,-4.794,-5.424,-9.315,-4.807,-5.973,-8.069,-4.229,-5.694,-6.672,-6.09,-5.018
7501079051428703626.wav,146.502,28.684,698.822,0.05,male,100.211,1.311,23.443,13.677,-1.034,-2.252,-6.966,-1.264,2.587,-0.182,-3.436,0.059,0.212,-2.868,0.028,-0.142,0.216,2.031,-1.67
11753631748354044085.wav,219.705,56.844,863.547,0.067,female,91.623,-8.763,21.64,0.955,-17.889,-0.892,-1.056,-4.615,-4.993,-5.976,-4.07,-4.706,-7.596,-5.144,-5.831,-7.032,-5.028,-6.2,-4.432
Voice706.wav,196.203,50.246,721.024,0.046,female,91.664,0.824,20.485,9.822,-2.296,-2.712,-10.037,-2.772,-1.168,-4.437,-2.373,-4.612,-7.082,-2.878,-1.668,-5.886,-5.486,-4.878,-4.502
Voice525.wav,214.992,54.877,779.147,0.06,female,94.844,-1.483,22.393,-6.018,-11.924,3.835,-7.225,-4.432,-4.891,-8.389,-3.496,-5.102,-7.128,-5.654,-5.859,-5.015,-2.308,-3.313,-5.081
13220464026524396522.wav,208.654,57.587,863.394,0.068,female,77.314,-0.803,13.635,4.38,-9.823,-1.21,-2.807,-2.317,-2.019,-7.272,-2.728,-1.618,-7.799,-5.044,-3.056,-6.349,-5.065,-4.096,-4.719
Voice32.wav,176.579,59.527,1099.823,0.075,female,81.847,-21.537,28.611,5.461,-1.149,9.549,-2.775,0.924,-0.899,-8.111,-2.052,0.361,-3.575,-1.445,-1.952,-3.968,-2.245,-3.749,-4.457
6318102351037158129.wav,136.59,14.7,677.163,0.053,male,106.002,1.189,18.088,18.081,-1.587,-1.05,-1.342,-5.893,-0.252,2.638,-5.977,-0.076,2.45,-4.888,1.493,1.595,-2.931,0.684,-0.485
16355503176111578777.wav,152.397,24.949,659.135,0.044,male,96.203,6.571,27.703,11.274,0.671,6.475,-9.193,-5.719,5.238,-3.746,-5.697,2.215,-1.355,-4.473,0.096,-0.602,-1.638,0.691,-1.072
6701166085688009469.wav,160.769,71.823,858.642,0.078,male,98.526,-14.902,1.735,6.505,-8.265,-2.634,-4.017,-9.633,-7.707,-4.219,-6.668,-4.582,1.083,-1.049,-0.824,0.264,-2.135,-0.861,-0.621
10283539467654863303.wav,154.462,31.867,685.11,0.053,male,106.305,1.152,7.816,8.316,-2.47,0.633,-0.011,-9.371,-4.725,3.885,-3.05,0.405,3.125,-2.549,-0.39,-1.593,-3.651,-1.551,-1.844
16821200955196227659.wav,163.307,40.322,944.391,0.068,female,88.861,-4.4,34.205,-0.794,-9.995,2.501,-5.024,-5.294,1.522,-5.467,-2.39,2.666,-6.944,0.025,-1.416,-2.19,0.037,-4.976,-1.611
9779105626971636148.wav,136.945,31.337,702.609,0.056,male,119.34,-7.237,15.945,0.614,-2.006,0.558,-3.504,2.975,-0.079,1.063,-1.138,1.226,1.521,-4.605,-0.103,-2.011,-2.68,1.465,-2.68
9237143373390043017.wav,132.204,16.388,693.573,0.043,male,113.399,-10.435,34.724,9.494,0.415,4.726,-5.778,2.06,2.993,2.003,-0.061,0.428,0.75,-2.497,-1.241,-0.231,0.139,1.455,-0.959
17142339839815748572.wav,221.446,64.793,1013.43,0.08,female,88.265,-24.204,17.519,0.81,-11.199,-7.064,-8.79,-4.167,-5.824,-8.677,-4.013,-1.265,-5.789,-2.431,-3.501,-5.62,-2.812,-2.467,-3.16
1422147573254456059.wav,137.424,27.116,714.971,0.052,male,111.87,-5.048,26.198,2.366,-2.587,1.68,-3.798,3.731,-2.908,0.105,2.337,-1.39,0.085,-2.682,0.401,-0.387,-4.426,-0.065,-1.63
15670493958473794071.wav,208.587,59.93,1122.237,0.082,female,69.944,-6.855,20.988,-8.352,-6.369,-6.122,-14.093,-8.334,-0.89,-4.278,-3.854,1.457,-4.144,-0.137,-2.989,-4.442,-2.573,-6.884,-4.685
18306909213135769344.wav,141.318,41.005,660.931,0.052,male,86.791,17.832,6.749,3.663,-2.493,-0.141,-0.794,-2.364,0.088,-0.859,-3.861,-0.042,2.758,-1.042,-1.44,0.145,-1.829,-1.991,-0.936
17330289187512103075.wav,170.843,60.153,964.545,0.097,male,94.901,-20.301,2.559,3.06,-11.005,-3.466,-5.821,-7.611,-2.228,-1.562,-4.902,-1.616,0.72,-3.077,-2.132,-0.756,-2.902,-1.717,-0.626
Voice698.wav,210.663,51.726,777.625,0.057,female,106.752,-14.241,17.164,9.836,-8.614,-3.522,-8.605,-3.341,0.686,-4.8,-3.458,-0.747,-4.901,-4.143,-2.626,-6.419,-4.053,-2.524,-3.992
13140927928247312316.wav,142.434,50.107,921.917,0.084,male,96.217,-8.15,17.622,-6.124,-3.684,1.507,-6.423,-0.931,-2.353,-0.592,-0.083,0.06,1.772,-2.761,-1.049,0.374,-3.703,-1.23,1.278
18014578153326488775.wav,195.501,55.093,912.377,0.074,female,98.503,-20.039,25.793,-0.517,-10.308,-1.559,-7.424,-4.036,-4.634,-4.688,-6.413,-1.116,0.369,-2.887,0.392,-1.888,-3.985,-3.038,-3.769
14511496202971342682.wav,185.58,62.853,1004.659,0.093,male,86.956,-19.486,7.265,10.132,-10.31,-5.974,-8.317,-8.828,-2.103,-2.433,-4.887,-1.154,-0.238,-4.01,-1.663,-0.995,-3.286,-0.413,-0.769
15993297161982448116.wav,159.283,40.274,682.471,0.055,male,91.727,5.913,2.896,11.339,-0.692,-3.517,-0.852,-3.386,-1.703,-0.047,-2.638,-1.19,0.717,-1.18,-2.671,-2.984,-2.979,-2.609,-2.847
11510084937927007902.wav,156.744,49.063,991.595,0.082,female,82.755,-2.739,25.335,-2.798,-5.893,1.539,-3.359,-4.591,-0.082,-7.08,-4.296,2.028,-5.333,0.093,-3.04,-3.238,1.321,-2.452,-0.495
15119809172449883972.wav,134.47,20.374,748.102,0.049,male,113.775,-9.159,29.296,1.903,-0.845,2.619,-6.849,5.139,-0.134,0.902,0.052,-1.307,1.467,-3.935,1.208,0.533,-3.438,1.591,-1.285
14049321736649736290.wav,155.474,60.856,967.046,0.095,male,88.553,-17.663,-3.212,3.474,-6.592,2.039,-3.065,-9.777,-3.941,-2.951,-6.752,-4.128,-0.545,-1.64,-1.091,-0.673,-1.773,-1.039,-1.252
5528024549315427149.wav,161.895,35.339,790.497,0.072,male,101.209,-4.742,1.851,7.706,-2.394,-2.922,-3.896,-4.335,-2.374,-2.026,-1.837,2.011,-0.386,-4.046,0.112,-0.868,-4.302,-2.285,-2.23
14694534103709907022.wav,147.463,24.089,846.657,0.072,male,100.707,-7.446,18.547,7.153,5.227,-1.364,-7.438,0.871,-0.808,0.243,-1.273,-0.457,-0.788,-2.205,-2.344,-1.726,1.698,-0.881,-0.581
Voice840.wav,189.365,45.055,702.853,0.048,female,88.835,2.424,22.31,17.079,-1.967,-0.861,-7.239,-4.082,1.12,-5.699,-4.033,-3.462,-8.073,-2.504,-1.62,-6.448,-5.047,-4.312,-4.194
2347033320986527895.wav,130.746,48.513,928.909,0.079,male,91.807,-5.771,23.693,-0.467,-6.921,1.249,-3.103,0.063,-0.229,-1.448,0.371,-0.76,-0.787,-0.398,-2.112,-0.601,-0.647,-0.737,0.65
Voice172.wav,179.892,37.194,748.379,0.047,male,86.381,-4.626,25.404,10.332,-2.743,2.959,-4.544,-4.746,-4.609,-4.717,-5.215,-3.033,-2.765,-6.746,-2.815,-2.687,-5.684,-2.632,-4.308
Voice27.wav,171.761,63.733,1182.545,0.099,female,69.481,-20.503,25.785,11.135,-0.873,3.91,-1.9,-0.388,-1.919,-7.027,-3.265,0.968,-4.747,-3.274,-1.394,-4.253,-3.051,-3.405,-2.822
17596572419146379418.wav,153.233,52.487,1041.759,0.08,female,77.427,-1.059,21.485,-5.202,-3.898,-0.034,-1.599,-2.145,0.46,1.353,-3.31,0.239,-4.167,-0.471,0.43,-3.861,0.584,-2.382,-2.493
18422032236519082023.wav,145.861,42.964,862.892,0.084,male,98.039,-11.672,-2.11,2.91,-10.997,-2.095,-3.457,-7.179,-1.373,-1.286,-2.185,-1.465,-0.689,0.155,-1.245,-1.328,-1.13,-2.152,-0.974
Voice545.wav,192.976,66.758,897.164,0.077,female,77.072,-4.741,19.429,9.937,-3.622,-4.217,-4.632,-3.232,-4.392,-3.129,-4.467,-4.112,-3.764,-3.705,-3.427,-5.874,-4.953,-3.448,-3.535
Voice523.wav,213.888,59.04,827.043,0.057,female,94.796,-11.145,28.501,10.261,-5.208,-1.136,-4.673,-0.369,-3.313,-9.204,-7.633,-2.093,-3.195,-4.575,-4.604,-7.24,-4.594,-4.323,-5.461
2162808030427483683.wav,143.867,36.224,901.748,0.085,male,95.18,-14.219,3.301,2.402,-9.022,1.087,-0.419,-5.845,-4.875,-1.281,-5.43,-7.534,-2.247,-2.586,-1.312,-0.284,-2.76,0.087,0.157
10445947997611099740.wav,194.466,54.586,934.293,0.073,female,82.559,-4.96,14.091,-3.275,-3.815,-1.056,-6.621,-5.445,-1.645,-3.284,-3.65,-0.156,-4.609,-3.88,-3.959,-4.713,-3.157,-4.546,-3.755
13243625602189522367.wav,147.194,33.762,696.376,0.049,male,101.922,-2.177,26.671,11.935,0.106,0.454,-9.943,-1.319,1.381,-2.78,-1.922,1.204,-0.135,-4.541,-1.182,0.228,-0.35,1.992,-0.006
4208605444983804538.wav,159.774,41.21,776.978,0.065,male,100.405,-2.838,6.56,9.649,-9.872,-2.205,1.942,-8.884,-5.156,2.138,-2.081,-1.419,1.809,-1.691,-2.39,-1.375,-3.376,-2.515,-1.216
467569168617734800.wav,168.457,45.472,820.088,0.073,male,97.852,-6.368,4.291,7.082,-3.877,-1.889,-2.033,-4.932,-2.677,-1.041,-4.449,1.617,3.67,-5.381,-3.028,1.533,-3.831,-3.956,-0.55
Voice522.wav,172.074,65.989,893.598,0.071,female,87.581,-6.672,27.452,10.264,1.655,1.356,-5.496,-1.15,-2.779,-6.093,-5.886,1.043,0.645,-2.776,-2.038,-6.1,-3.225,-1.915,-4.274
5262179302964136793.wav,137.819,22.411,680.174,0.052,male,117.433,-6.134,16.582,4.853,-3.619,2.602,-5.154,0.181,2.172,-0.395,1.078,2.14,-0.221,-3.125,-0.505,-0.898,-2.819,-0.25,-1.471
18321176077651606246.wav,201.914,44.849,1043.472,0.08,female,84.279,-10.445,20.377,-10.463,-10.623,-6.013,-8.168,-2.668,-0.06,-3.446,-4.464,-1.831,-6.843,-3.46,-3.538,-4.293,-2.278,-5.145,-3.94
12553286915321333123.wav,187.925,50.539,827.126,0.068,female,86.478,4.651,15.746,-2.83,-4.932,-2.332,-7.005,-6.724,-1.941,-2.76,-3.627,0.777,-5.083,-3.982,-2.815,-4.391,-1.083,-2.64,-2.176
11093464861426507859.wav,217.883,66.239,958.339,0.078,female,85.62,-13.183,16.732,2.352,-11.377,-1.535,-5.455,-2.732,-3.982,-6.689,-0.654,-4.557,-8.258,-3.02,-5.227,-5.655,-3.36,-5.254,-4.247
11967438321115715438.wav,157.497,44.182,960.071,0.073,female,85.057,-2.637,29.312,0.27,-4.636,-5.407,-4.468,-3.348,0.001,-2.782,-4.294,0.577,-7.221,0.287,-0.727,-2.933,1.928,-3.266,-0.767
10675371765096448530.wav,233.335,51.769,831.336,0.062,female,90.729,-11.761,13.151,1.688,-17.156,-7.956,-8.818,-10.035,-4.732,-6.215,-9.343,-3.08,-5.577,-9.141,-3.538,-5.313,-7.115,-5.319,-5.698
16692194854491150545.wav,219.076,57.507,845.062,0.061,female,95.445,-16.548,22.097,7.737,-15.934,-2.544,-9.645,-13.963,-4.342,-5.172,-8.875,-2.53,-3.099,-5.335,-1.691,-4.649,-6.41,-5.556,-5.552
1122640539931523170.wav,155.105,35.261,758.351,0.068,male,103.387,-1.909,2.255,6.963,-3.148,-1.41,-3.855,-4.143,0.582,0.149,-2.869,-0.447,0.689,-2.235,-1.201,-0.223,-2.756,-3.266,-2.445
10031229187636361593.wav,170.362,46.038,817.593,0.074,male,107.876,-9.699,3.102,8.944,-6.335,-2.787,-1.406,-5.816,-2.406,-0.077,-4.751,0.793,3.925,-5.716,-3.778,1.602,-4.239,-4.301,-0.312
11017161996804670079.wav,214.97,66.849,978.528,0.08,female,91.783,-19.459,21.814,1.56,-11.104,-2.316,-7.292,-2.601,-2.955,-6.629,-2.735,-1.975,-7.085,-4.495,-2.867,-6.02,-4.309,-4.152,-4.406
12335559624072302240.wav,155.669,35.109,781.588,0.069,male,92.93,1.328,7.99,5.417,-6.685,0.835,-2.1,-7.405,-2.283,0.613,-1.126,0.474,1.885,-0.775,-1.675,-1.445,-1.773,-1.875,-3.511
14922014325464674808.wav,209.551,50.79,1017.512,0.079,female,75.883,-6.172,18.717,-4.901,-10.619,-4.46,-8.771,-4.604,-0.638,-4.663,-5.004,-1.16,-5.868,-3.392,-2.838,-4.941,-2.902,-5.306,-4.168
16707124837031531893.wav,211.668,55.552,1172.291,0.089,female,68.836,-12.776,19.212,-7.785,-4.666,-7.593,-16.153,-8.362,-0.986,-5.727,-3.475,1.8,-4.339,-1.786,-4.684,-3.723,-3.316,-8.207,-4.494
16238976463064253038.wav,230.177,45.588,778.232,0.061,female,98.347,-11.974,14.376,3.028,-11.085,-7.785,-12.493,-12.265,-4.487,-3.419,-9.303,-4.255,-6.35,-7.426,-2.92,-5.469,-4.271,-5.917,-7.409
8830042280070853465.wav,141.496,34.782,680.585,0.05,male,84.271,11.635,14.618,5.765,-0.498,1.776,-4.572,-2.92,0.705,0.141,-3.638,-1.917,2.515,-1.778,-1.687,0.012,-3.057,-1.267,-0.998
6484455694215097048.wav,149.003,42.052,813.598,0.073,male,105.973,-6.176,8.949,14.347,-5.837,-2.99,2.93,-3.104,-4.275,-0.324,0.044,2.38,0.595,-2.173,1.106,-0.363,-2.858,-0.903,-1.931
5737046112707369993.wav,138.193,23.77,700.755,0.052,male,113.535,-2.558,24.961,1.153,-0.907,2.554,-4.316,3.196,-2.184,-0.515,1.869,-0.99,-0.563,-2.16,0.653,-0.229,-3.298,0.408,-1.613
1921533538510460313.wav,148.019,20.194,742.66,0.051,male,97.996,-2.24,27.112,11.38,-3.073,3.934,-9.098,-5.841,3.22,-2.209,-3.25,2.142,0.067,-4.199,-1.141,-0.676,-0.89,1.187,-0.725
Voice49.wav,190.204,59.075,1308.753,0.104,female,75.639,-25.308,36.555,0.399,-4.653,10.444,-6.579,-3.333,-0.079,-5.027,-3.459,-0.341,-4.05,-3.431,-1.557,-4.657,-3.56,-3.475,-4.315
9829590612111508858.wav,145.08,47.61,947.028,0.084,male,88.011,-8.423,9.291,1.197,-3.484,0.956,-0.49,-2.917,-2.176,1.096,-1.68,0.616,0.343,-3.24,-0.037,-0.121,-1.75,-0.273,-0.219
